,Overall_Rank,State,Total_Score,Education_Score,Health_Score,Safety_Score,Economy_Score,Infra_Pollution_Score,Vote_2020,Legislature,Governor,Control,Revenue1,General_revenue1,Intergovernmental_revenue1,From_Federal_Government,From_State_government1,From_local_governments1,General_revenue_from_own_sources,Taxes,Property,Sales_and_gross_receipts,General_sales,Selective_sales,Motor_fuel,Alcoholic_beverage,Tobacco_products,Public_utilities,Other_selective_sales,Individual_income,Corporate_income,Motor_vehicle_license,Other_taxes,Charges_and_miscellaneous_general_revenue,Intergovernmental_expenditure1,Direct_expenditure,Current_operations,Capital_outlay,Construction,Other_capital_outlay,Assistance_and_subsidies,Interest_on_debt,Insurance_benefits_and_repayments,Exhibit:_Salaries_and_wages,Education_Expenditures,Higher_education,Elementary_&_secondary,Other_education,Libraries,Public_Welfare_Expenditures,Cash_assistance_payments,Vendor_payments,Other_public_welfare,Hospital_Expenditures,Health_Expenditures,Employment_security_administration,Veterans'_services,Highway_Expenditures,Air_transportation_(airports),Parking_facilities,Sea_and_inland_port_facilities,Police_Expenditures,Fire_protection,Corrections_Expenditures,Capital_outlay,Protective_inspection_and_regulation,Natural_Resources_Expenditures,Parks_Rec_Expenditures,Housing_and_community_development,Sewerage,Solid_waste_management,Financial_administration,Judicial_and_legal,General_public_buildings,Other_governmental_administration,Interest_on_general_debt,2020_Tax_Burden,POP_2020
30,49,New Mexico,34.88,49,20,50,47,32,D,D,D,D,28619178,26534718,9176215,9176215,0,0,17358503,10580494,1903709,5486617,4545046,941571,230303,21078,95080,93815,501295,1227926,95556,225740,1640946,6778008,0,27702843,21411138,2287980,1894343,393637,270094,665714,3067917,6600891,6691167,2176558,4139738,374871,36420,7385030,53728,6829497,501805,1597211,653803,9079,3893,1129114,80943,9555,0,764550,308438,826722,13230,61207,360465,321495,191092,228075,214378,389204,374096,103407,280900,610752,11.6%,2117566
31,19,New York,55.99,8,37,15,41,28,D,D,D,D,376214893,336538719,79244695,79244695,0,0,257294024,200443056,62847220,48756252,33897653,14858599,1675483,282805,1060906,1715489,10123916,67963993,11310886,1562202,8002503,56850968,0,387676964,284540417,37741274,32792716,4948559,4844980,18358378,42191915,95714271,93490339,14668841,76372095,2449403,1073055,83018280,2501529,69436007,11080744,18251146,8095691,226290,6918,10630209,2815834,87204,298227,11084264,4139828,6509891,196729,733401,589687,3365735,7608964,4046187,3609348,3863484,4764316,1374022,1421402,15144902,14.9%,20154933
32,32,North Carolina,50.07,21,48,32,24,10,R,R,D,S,110400823,95906470,24254086,24254086,0,0,71652384,44011586,11312772,16667556,11862604,4804952,1943572,552854,288657,277,2019591,12505906,662343,985904,1877104,27640798,0,107765251,83544964,11725579,9588051,2137528,2022426,2262653,8209629,30760605,29796319,10762596,16734014,2299709,271570,17002524,354045,15014298,1634181,13332525,4318207,55685,21044,5926343,1099707,72788,126410,3615719,1233421,2143846,65023,362228,886678,1350546,1885746,1354548,887816,1677950,925781,487392,1007286,2066492,10.1%,10457177
33,4,North Dakota,64.47,24,4,19,12,1,R,R,R,R,13207173,11910676,3391295,3391295,0,0,8519381,5877648,1198222,1881429,1348923,532505,193763,9116,26639,68199,234788,376864,81490,117224,2222420,2641733,0,10922021,7683382,1883075,1635622,247453,135110,355605,864849,2705172,3178507,1085401,1955630,137476,22821,1679844,67857,1323020,288967,53493,217489,15155,664,1206303,260390,10049,0,257186,93687,179975,7454,42328,381532,269374,94787,105034,83429,184666,112434,62865,95895,336496,9.9%,778962
34,26,Ohio,53.4,31,25,17,25,22,R,R,R,R,155504317,119320423,32584354,32584354,0,0,86736069,57262949,17192971,22741455,15241726,7499729,2527816,122784,914410,814901,3119818,14291316,282525,857835,1896847,29473120,21232,145959964,105125596,13445592,11001792,2443800,2287726,3518686,21582364,34072507,39731229,10272058,27475153,1984019,552556,31463741,508105,27651949,3303688,6663101,3549082,133568,32522,6394990,398176,59688,25920,4056764,2243865,2427867,196892,349766,493703,1735479,2176667,2799427,608507,2221937,2011070,649708,1498221,3363060,10.6%,11790587
35,42,Oklahoma,42.19,35,43,43,22,45,R,R,R,R,41478732,36320417,10035627,10035627,0,0,26284790,16503645,3498839,7277269,5483597,1793672,580104,135956,458201,145366,474045,3364947,301574,790274,1270742,9781145,47401,38169470,28448409,4866786,3617936,1248850,709177,639358,3505741,10478588,11527435,3962779,6825563,739093,128958,7142207,159489,5994539,988179,1489589,1256633,84182,16689,2950220,180806,18067,9758,1139397,626544,788105,21333,194019,232683,589318,615547,376067,285109,588877,357753,50660,387262,486390,9.6%,3962031
36,36,Oregon,46.67,42,23,31,40,30,D,D,D,D,60946595,51360950,14132727,14132727,0,0,37228223,22065012,7338565,2643137,258,2642879,587553,18414,245318,351875,1439719,8635691,996216,592884,1858519,15163211,0,65714162,48532063,7363664,6593552,770112,620052,1580884,7617499,14449832,17115741,5893023,9736465,1486253,265558,13110181,267918,7900237,4942026,3117537,1992770,66916,6964,2472877,590052,28751,157692,1586873,1036257,1515418,29072,497844,695481,838738,935197,1185880,175101,1069045,952644,312738,902229,1470198,11.9%,4241544
37,24,Pennsylvania,54.01,22,19,16,38,37,D,R,D,S,169743913,143191400,40978463,40978463,0,0,102212937,72142132,21358816,22995080,12617152,10377928,3110295,436946,1239528,1124429,4466730,18295797,3100425,1150355,5241658,30070805,116907,174037515,130245981,16057332,12697615,3359717,2003136,4736092,20994974,36190217,46778333,11599674,32606345,2572314,235947,41897779,692820,30452065,10752894,5087122,6154226,96995,7219,11052149,753367,211790,15285,4289933,963919,4221825,430655,437291,872761,1107721,2363222,2973065,965906,2320008,1960869,1368042,1760197,4438725,10.8%,12989625
38,16,Rhode Island,57.46,19,8,5,43,39,D,D,D,D,14644994,13216396,4357382,4357382,0,0,8859014,6283093,2684485,1907247,1157312,749935,71415,20115,138761,105991,413653,1241856,213303,29627,206575,2575921,18829,14487904,10687210,973265,791691,181574,185346,535874,2106209,3467510,3667840,731390,2664079,272371,43581,3207065,22502,2771457,413106,52196,420006,38190,0,730061,39530,2066,8304,513467,325913,257906,15961,34092,88434,82391,232223,161945,108268,227699,157775,117973,436414,522991,12.0%,1096229
39,46,South Carolina,39.63,39,47,47,30,18,R,R,R,R,55773111,49903172,12668189,12668189,0,0,37234983,20817323,6740430,6821168,4610900,2210267,756658,188786,26694,102607,1135523,5095531,505025,449606,1205564,16417660,0,56241395,43089670,5745103,4550812,1194291,1438575,1410028,4558019,14487438,16801488,4777272,10245231,1778985,201623,8660622,139928,7626009,894686,7777760,1548815,60107,2365,2372203,226381,57431,495837,1417674,655795,801370,16043,154215,276800,696159,531356,784246,519261,752842,434765,307832,730752,897472,9.9%,5130729
40,21,South Dakota,55.46,37,12,29,15,5,R,R,R,R,9837016,8859420,3243075,3243075,0,0,5616345,3961466,1424557,2114220,1586418,527802,188407,18898,51081,39577,229839,0,37459,126600,258630,1654879,0,8751771,6204017,1434001,1283393,150608,144822,223419,745512,2421580,2605868,733954,1686200,185714,32406,1234078,84487,859792,289800,119694,214574,26739,1783,1211594,42856,2918,0,228941,79607,193969,2144,46657,168538,166405,94328,114770,60860,155223,108610,55034,93209,200430,8.8%,887099
41,41,Tennessee,42.24,29,46,45,23,20,R,R,R,R,67702300,53794610,15111079,15111079,0,0,38683531,25735383,5846897,15968088,11823070,4145018,1210141,428724,236922,96961,2172270,57642,1504881,509058,1848817,12948148,0,67876915,52779550,6485062,5131282,1353780,1751208,2090945,4770150,17190692,15790467,4051220,10485401,1253846,151819,13211937,804803,11012442,1394692,4312276,1292314,58130,6153,2957063,1009157,16206,1458,2289872,885026,1229643,20688,154342,527380,659715,855598,1001349,554544,1024224,887123,442348,607581,1758076,7.6%,6920119
